URLs successfully downloaded, Size in kilobytes, # outlinks found, Content-type
https://www.dailymail.co.uk/news/article-6705267/Jamal-Khashoggis-fiancee-narrowly-missed-killed-alongside-journalist.html?mrn_rm=rta,537,993,text/html
https://www.dailymail.co.uk/news/article-6593805/amp/New-migrant-caravan-800-Hondurans-heads-America-amid-wall-funding-row.html,274,764,text/html
https://www.dailymail.co.uk/news/article-6573787/PIERS-MORGAN-Trumps-rhetoric-does-no-favors-rank-hypocrisy-Democrats-worse.html?ns_mchannel=rss&amp,525,983,text/html
https://www.dailymail.co.uk/news/article-3409751/ISIS-supporter-accused-murder-spree-two-states-killing-four-people-protest-against-foreign-policy-federal-terrorism-watch-list.html,547,1030,text/html
https://www.dailymail.co.uk/news/article-6231449/Legally-blind-Bill-Cosby-personal-guide-prison-making-friends-staff.html,523,984,text/html
https://www.dailymail.co.uk/news/article-6567729/Trump-advisor-Turkey-talks-Syria-pullout.html,518,981,text/html
https://www.dailymail.co.uk/news/article-6337855/Brother-arrested-Iraqi-refugee-says-sibling-not-Mandarin-Oriental-building-bombs.html?ns_mchannel=rss&amp,532,987,text/html
https://www.dailymail.co.uk/news/article-6588655/Congress-face-question-When-shutdown-end.html,526,984,text/html
https://www.dailymail.co.uk/news/article-6433749/Homeland-Security-chief-agrees-caravan-migrants-using-women-children-human-shields.html?ns_mchannel=rss&amp,561,1007,text/html
https://www.dailymail.co.uk/news/article-5872915/Michelle-Obama-says-White-House-passion-children.html,528,989,text/html
https://www.dailymail.co.uk/news/article-6533109/Saudi-king-orders-government-reshuffle-Khashoggi-fallout.html,518,980,text/html
https://www.dailymail.co.uk/news/article-6611521/Inside-Brexit-bash-Jacob-Rees-Moggs-son-Peter-11-served-Bollinger-Tory-rebels.html?ns_mchannel=rss&amp,511,982,text/html
https://www.dailymail.co.uk/news/article-6439403/amp/Syrian-refugee-15-waterboarded-bully-tells-cries-sleep.html,309,764,text/html
https://www.dailymail.co.uk/news/article-6622823/Tory-chiefs-warn-Jeremy-Corbyn-end-PM-calls-snap-election.html,538,985,text/html
https://www.dailymail.co.uk/news/article-6591223/Senior-Trump-official-tells-president-anonymous-op-ed-shutter-shutdown-agencies-forever.html?ns_mchannel=rss&amp,527,980,text/html
https://www.dailymail.co.uk/news/article-6691789/Five-children-aged-12-16-charged-murder-Nashville-musician-tried-adults.html,515,987,text/html
https://www.dailymail.co.uk/news/article-6611963/The-PM-quit-wins-gets-Eurosceptic-Tories-vote-deal.html,545,987,text/html
https://www.dailymail.co.uk/news/article-6159747/Trumps-DHS-shifted-nearly-10-million-FEMA-ICE-detention-programs.html?ns_mchannel=rss&amp,525,991,text/html
https://www.dailymail.co.uk/news/article-5573769/Friend-woman-accusing-Bill-Cosby-sexual-assault-approved-witness.html,585,1026,text/html
https://www.dailymail.co.uk/news/article-5539931/Barack-Michelle-Obama-stirring-letter-gun-control-activists-marches-place-America.html,542,1004,text/html
https://www.dailymail.co.uk/news/article-5688163/Bill-Cosbys-statue-removed-Television-Academys-Hall-Fame.html,527,988,text/html
https://www.dailymail.co.uk/news/article-6591445/amp/Trump-says-impossible-criminal-immigrants-enter-easier-farm-hands.html,272,766,text/html
https://www.dailymail.co.uk/news/article-6158827/EU-announces-anti-migrant-coastguard-protect-borders-three-years-continent-opened-doors.html?ns_mchannel=rss&amp,515,985,text/html
https://www.dailymail.co.uk/news/article-6702177/Tech-mogul-Marsys-Law-advocate-faces-drug-charges-Vegas.html?mrn_rm=rta,518,986,text/html
https://www.dailymail.co.uk/news/article-6622519/Hardline-Brexiteers-just-pretending-Mays-plan.html?ns_mchannel=rss&amp,537,990,text/html
https://www.dailymail.co.uk/news/article-3444390/Autopsy-reports-1929-Valentines-Day-massacre.html,553,1037,text/html
https://www.dailymail.co.uk/news/article-6695727/KFC-worker-wins-1-5million-discrimination-lawsuit-breastfeeding.html,512,980,text/html
https://www.dailymail.co.uk/news/article-6198845/Michelle-Obama-officiates-wedding-Chicago-deputy-mayors-daughter.html,512,981,text/html
https://www.dailymail.co.uk/news/article-5596261/Who-Nicolle-Rochelle-Naked-actress-protested-Cosby-trial.html,520,1031,text/html
https://www.dailymail.co.uk/news/article-6214719/True-dedication-Syrian-refugee-girl-11-filmed-studying-pile-RUBBISH-Turkey.html?ns_mchannel=rss&amp,512,982,text/html
https://www.dailymail.co.uk/news/obama/index.html,491,654,text/html
https://www.dailymail.co.uk/news/article-3444217/Families-six-Americans-brutally-murdered-Mexican-cartels-sue-HSBC-aiding-terrorism-laundering-BILLIONS-dollars-drug-gangs.html,550,1039,text/html
https://www.dailymail.co.uk/news/article-6415621/Obamas-book-sells-1-4-million-copies-week.html,520,988,text/html
https://www.dailymail.co.uk/news/article-6179087/The-Reparation-Emmys-Michael-Che-hands-Emmys-black-artists-won.html,518,986,text/html
https://www.dailymail.co.uk/news/article-6540263/Khashoggi-killing-journalist-killed-botched-attempt-kidnap-him.html,517,980,text/html
https://www.dailymail.co.uk/news/article-6158593/Canadian-immigrant-multi-millionaire-winning-lottery-TWICE.html?ns_mchannel=rss&amp,504,979,text/html
https://www.dailymail.co.uk/news/article-4620042/Drug-agents-San-Diego-seize-huge-load-powerful-opiate.html,538,1025,text/html
https://www.dailymail.co.uk/news/article-6565315/Swiss-woman-charged-assault-slapping-Afghan-migrant-kept-groping-her.html?ns_mchannel=rss&amp,505,980,text/html
https://www.dailymail.co.uk/news/article-6434637/Nearly-200-illegal-immigrants-jumped-border-kids-werent-theirs-says-Homeland-Security.html?ns_mchannel=rss&amp,567,997,text/html
https://www.dailymail.co.uk/news/article-5421727/Michelle-Obama-awe-student-gun-control-activists.html,526,987,text/html
https://www.dailymail.co.uk/news/article-6693999/Handyman-accused-intentionally-blowing-Denver-rowhome.html,515,979,text/html
https://www.dailymail.co.uk/news/article-6610299/Keir-Starmer-hints-Labour-campaign-second-referendum-fails-reach-new-Brexit-deal.html?ns_mchannel=rss&amp,522,985,text/html
https://www.dailymail.co.uk/news/article-5662009/Shrieks-tears-Bill-Cosby-accusers-court-guilty-drugging-raping-Andrea-Constand.html,551,995,text/html
https://www.dailymail.co.uk/news/article-5888887/Michelle-Obama-steps-upscale-vegan-lunch-Los-Angeles.html,550,1010,text/html
https://www.dailymail.co.uk/news/article-6589189/Republican-leaders-slam-Democrats-partying-beach.html,520,986,text/html
https://www.dailymail.co.uk/news/article-6602171/Japanese-firm-Hitachi-scraps-plans-new-multi-billion-pound-nuclear-power-plant-Wales.html?ns_mchannel=rss&amp,517,981,text/html
https://www.dailymail.co.uk/news/article-6120721/Don-Jr-blasts-liberals-response-Mollie-Tibbetts-murder.html?ns_mchannel=rss&amp,522,981,text/html
https://www.dailymail.co.uk/news/article-6594539/amp/Trump-tries-split-Democratic-party-inviting-moderates-White-House.html,281,766,text/html
https://www.dailymail.co.uk/news/article-6594069/After-loses-tonights-vote-SIX-ways-stage-Brexit-drama-play-out.html?ns_mchannel=rss&amp,179,164,text/html
https://www.dailymail.co.uk/news/article-6701701/Woman-50-survived-horrific-bear-attack-feels-lucky-alive.html?ico=amp-comments-viewall,521,989,text/html
https://www.dailymail.co.uk/news/article-5621437/Bill-Cosby-sex-assault-accusers-telephone-records-DISPROVE-account.html,587,1017,text/html
https://www.dailymail.co.uk/news/article-6201453/Bradley-John-school-toilets-sister-hears-ringtone-cubicle-door.html,515,982,text/html
https://www.dailymail.co.uk/news/article-5529009/Obamas-Parkland-students-gun-control-campaign.html,516,987,text/html
https://www.dailymail.co.uk/news/article-5586785/amp/Inside-El-Chapos-lair-Pictures-drug-lords-dirty-deserted-safehouse.html,295,765,text/html
https://www.dailymail.co.uk/news/article-6355393/Paul-Ryan-called-Trump-beg-promote-economy-stop-venting-immigration.html?ns_mchannel=rss&amp,521,991,text/html
https://www.dailymail.co.uk/news/article-6696233/amp/Ex-boyfriend-woman-body-bound-suitcase-arrested.html,275,766,text/html
https://www.dailymail.co.uk/news/republicans/index.html,491,650,text/html
https://www.dailymail.co.uk/news/article-3445099/amp/I-never-gave-single-peso-El-Chapo-says-willing-testify-defense-love-Kate-del-Castillo-tried-money-laundering.html,275,766,text/html
https://www.dailymail.co.uk/news/article-6487383/Afghan-asylum-seeker-escaped-deportation-despite-facing-murder-charges.html?ns_mchannel=rss&amp,509,981,text/html
https://www.dailymail.co.uk/news/article-6637567/Labours-Angela-Rayner-warns-Brexit-referendum-political-failure.html,507,978,text/html
https://www.dailymail.co.uk/news/article-3444117/Beyonce-s-Super-Bowl-poster-boy-Black-Lives-Matters-agitated-paranoid-stabbed-threatened-doing-gunned-cops.html,564,1039,text/html
https://www.dailymail.co.uk/news/article-6193911/Illegal-immigrant-28-claimed-Grenfell-fire-victim-try-gain-amnesty.html?ns_mchannel=rss&amp,518,984,text/html
https://www.dailymail.co.uk/news/article-5359123/Judge-orders-anonymous-jury-trial-El-Chapo.html,563,1033,text/html
https://www.dailymail.co.uk/news/article-6557281/Channel-migrants-sent-straight-France-claim-asylum.html?ns_mchannel=rss&amp,518,980,text/html
https://www.dailymail.co.uk/news/article-6672195/amp/Brexit-delayed-eight-weeks-24-Mays-deal-gets-Commons.html,266,767,text/html
https://www.dailymail.co.uk/news/article-6555835/The-Navy-goes-HMS-Mersey-patrol-catch-illegal-migrants.html?ns_mchannel=rss&amp,523,986,text/html
https://www.dailymail.co.uk/news/article-6068671/The-Obamas-offer-heartfelt-tribute-Aretha-Franklin.html,546,997,text/html
https://www.dailymail.co.uk/news/article-6705209/Twelve-year-old-girl-weighs-just-22lbs-Yemens-war-drives-people-brink-famine.html?mrn_rm=rta,181,193,text/html
https://www.dailymail.co.uk/news/article-6669821/amp/Sarah-Sanders-says-inaugural-committee-subpoena-White-House.html,271,764,text/html
https://www.dailymail.co.uk/news/article-6616023/amp/Theresa-DROPS-65-fee-EU-nationals-stay-UK.html,269,765,text/html
https://www.dailymail.co.uk/news/article-5449921/Bill-Cosbys-daughter-Ensa-recieve-kidney.html,546,1001,text/html
https://www.dailymail.co.uk/news/article-6507203/amp/800-000-government-workers-anxiously-wait-shutdown-looms-border-wall-funding-dispute.html,270,765,text/html
https://www.dailymail.co.uk/news/article-6123787/Father-Mollie-Tibbetts-hits-Don-Jr-writes-op-ed-blaming-Democrats-death.html?ns_mchannel=rss&amp,529,989,text/html
https://www.dailymail.co.uk/news/article-6668761/Welcome-Year-Pig-Chinese-people-world-celebrate-Lunar-New-Year.html,228,227,text/html
https://www.dailymail.co.uk/news/article-6512403/AP-Investigation-Migrant-kids-held-mass-shelters.html,530,986,text/html
https://www.dailymail.co.uk/news/article-6506533/Dinesh-DSouza-claims-Michelle-Obamas-college-thesis-illiterate-incoherent.html,532,990,text/html
https://www.dailymail.co.uk/news/article-6669599/Ex-minister-urges-Labour-MPs-reasonable-Brexit-deal.html,531,988,text/html
https://www.dailymail.co.uk/news/article-6460643/The-bully-tormented-Home-Secretary-Sajid-Javid.html?ns_mchannel=rss&amp,518,982,text/html
https://www.dailymail.co.uk/news/article-6455347/Michelle-Obama-visits-London-schoolgirls-met-Lady-nine-years-ago.html,535,996,text/html
https://www.dailymail.co.uk/news/article-6413169/Migrant-caravan-holds-mass-LGBTQ-wedding-ceremony-border-America.html?ns_mchannel=rss&amp,515,985,text/html
https://www.dailymail.co.uk/news/article-6704895/British-gypsy-tourists-banned-Burger-Kings-New-Zealand.html?mrn_rm=rta,520,985,text/html
https://www.dailymail.co.uk/news/article-6616071/amp/Outrage-UKIP-member-called-anti-Brexit-campaigner-Gina-Miller.html,261,763,text/html
https://www.dailymail.co.uk/news/article-6505445/Melania-tweets-video-meeting-troops-sinking-poll-numbers-prompt-East-Wing-backlash.html,206,216,text/html
https://www.dailymail.co.uk/news/texas/index.html,484,652,text/html
https://www.dailymail.co.uk/news/article-6592785/Food-banks-pop-America-help-unpaid-TSA-workers.html,547,1001,text/html
https://www.dailymail.co.uk/news/article-6704345/Gary-Barlow-loses-bid-build-six-bed-house-garden-6million-country-mansion.html?mrn_rm=rta,515,985,text/html
https://www.dailymail.co.uk/news/article-6597417/EUs-Michel-Barnier-says-sad-rejection-Brexit-deal.html?ns_mchannel=rss&amp,524,985,text/html
https://www.dailymail.co.uk/news/article-6328987/Seven-Syrian-migrants-German-arrested-raping-girl-18-four-hours-outside-nightclub.html?ns_mchannel=rss&amp,512,984,text/html
https://www.dailymail.co.uk/news/article-6673107/amp/May-meets-Northern-Irelands-parties-scramble-way-break-Brexit-deadlock.html,312,769,text/html
https://www.dailymail.co.uk/news/article-6347853/Michelle-Obama-London-tickets-former-Ladys-book-event.html,517,1016,text/html
https://www.dailymail.co.uk/news/article-6675313/Family-British-woman-jailed-slap-Bali-immigration-worker-deeply-ashamed-her.html?ns_mchannel=rss&amp,537,993,text/html
https://www.dailymail.co.uk/news/article-5613185/Bill-Cosby-accuser-Andrea-Constand-testifies-comedians-retrial.html,578,1010,text/html
https://www.dailymail.co.uk/news/article-6311603/Trump-calls-Europe-total-mess-latest-defense-hardline-immigration-tactics.html?ns_mchannel=rss&amp,548,1006,text/html
https://www.dailymail.co.uk/news/article-6705267/amp/Jamal-Khashoggis-fiancee-narrowly-missed-killed-alongside-journalist.html,280,765,text/html
https://www.dailymail.co.uk/news/article-6672965/Jet-Airways-passenger-36-launched-drunken-rampage-jailed-six-months.html,513,982,text/html
https://www.dailymail.co.uk/news/article-6540101/amp/Shocking-video-shows-shelter-staff-slapping-migrant-children.html,271,765,text/html
https://www.dailymail.co.uk/news/article-6554153/amp/Sajid-Javid-Defence-Secretary-Gavin-Williamson-row-fund-navy-patrol.html,275,765,text/html
https://www.dailymail.co.uk/news/article-6690915/Rapper-21-Savages-mother-snubs-offer-attend-Grammys-sons-place-ICE-custody.html?ns_mchannel=rss&amp,537,995,text/html
https://www.dailymail.co.uk/news/article-6619953/James-Dyson-relocates-SINGAPORE-despite-voting-Brexit.html?ns_mchannel=rss&amp,527,988,text/html
https://www.dailymail.co.uk/news/article-6702719/Ex-London-schoolgirl-19-fled-join-ISIS-two-friends-flees-nine-months-pregnant.html?ico=amp-comments-addcomment,310,247,text/html
https://www.dailymail.co.uk/news/article-6611313/Christopher-Skase-bombshell-tell-prison-memoirs-Whitney-Houston-OJ-Simpson-Raquel-Welch.html,513,983,text/html
https://www.dailymail.co.uk/news/article-6695453/Mark-Kelly-announces-run-McCain-Senate-seat-Arizona.html,531,990,text/html
https://www.dailymail.co.uk/news/article-6540045/Grieving-mother-eight-year-old-Guatemalan-boy-died-custody-says-son-NOT-sick.html,532,987,text/html
https://www.dailymail.co.uk/news/article-5754263/Barack-Michelle-Obama-enter-multi-year-deal-Netflix.html,512,981,text/html
https://www.dailymail.co.uk/news/article-6183887/Putin-says-EUs-generous-social-benefits-blame-migrant-crisis.html?ns_mchannel=rss&amp,510,983,text/html
https://www.dailymail.co.uk/news/article-5960979/Bill-Cosbys-ex-attorney-Marty-Singer-escape-Janice-Dickinson-lawsuit.html,512,975,text/html
https://www.dailymail.co.uk/news/article-6289897/British-soldiers-people-smuggling-plot-foiled-Calais-Jungle-migrants-pictured-packed-car-boot.html?ns_mchannel=rss&amp,515,985,text/html
https://www.dailymail.co.uk/news/article-5972329/Michelle-Obama-celebrity-pals-enter-2018-election-fight-new-vote-plan.html,515,987,text/html
https://www.dailymail.co.uk/news/article-6673191/Melbourne-woman-28-jailed-Indonesia-stealing-550-pair-earrings-Bali.html,506,979,text/html
https://www.dailymail.co.uk/news/article-6616023/Theresa-DROPS-65-fee-EU-nationals-stay-UK.html?ns_mchannel=rss&amp,518,980,text/html
https://www.dailymail.co.uk/news/article-6036069/PIERS-MORGAN-Hollywood-going-strip-Trump-star-Spacey-Cosby-lose-theirs.html,521,982,text/html
https://www.dailymail.co.uk/news/article-6555783/May-dragged-migrant-row-Peer-accuses-scrapping-surveillance.html?ns_mchannel=rss&amp,515,981,text/html
https://www.dailymail.co.uk/news/article-6420799/amp/Asylum-seeker-posed-15-year-old-schoolboy-deemed-ADULT.html,287,765,text/html
https://www.dailymail.co.uk/news/article-6512417/PIERS-MORGAN-Stop-Michelle-hates-going-low-bitchy-sniping-Melania-tacky.html,520,985,text/html
https://www.dailymail.co.uk/news/article-6674301/amp/Donald-Tusk-blames-pro-Brexit-Corbyn-dashing-Remain-hopes.html,266,766,text/html
https://www.dailymail.co.uk/news/article-6702273/Ilhan-Omar-clashes-Trumps-Venezuela-envoy-human-rights-record.html?mrn_rm=rta,535,986,text/html
https://www.dailymail.co.uk/news/article-6411065/Detained-Saudi-activists-electrocuted-flogged-sexually-harassed-masked-interrogators.html,524,985,text/html
https://www.dailymail.co.uk/news/article-6654503/amp/Time-prove-right-Trump-warns-intel-chiefs-told-SCHOOL.html?ico=amp_articleRelated,296,767,text/html
https://www.dailymail.co.uk/news/article-6702037/Sovereign-citizen-dad-sex-daughters-babysitter-15-25-TIMES.html?ico=amp-comments-viewall,511,980,text/html
https://www.dailymail.co.uk/news/article-6318435/Are-crooked-lawyers-really-helping-asylum-seeking-liars-SUE-REID-horrifying-observations.html?ns_mchannel=rss&amp,542,987,text/html
https://www.dailymail.co.uk/news/article-5666327/Temple-rescinds-honorary-degrees-Bill-Cosby-sexual-assault-conviction.html,508,980,text/html
https://www.dailymail.co.uk/news/article-6576421/Australia-appears-set-offer-asylum-Saudi-teen-topless-protest-held-Sydney.html?ns_mchannel=rss&amp,536,991,text/html
https://www.dailymail.co.uk/news/article-6571991/Viewers-nation-captivated-Trumps-Oval-Office-address-including-migrant-caravan.html?ns_mchannel=rss&amp,162,176,text/html
https://www.dailymail.co.uk/news/article-6067997/Trump-tweets-death-Aretha-Franklin-Clintons-release-long-tribute.html,552,1002,text/html
https://www.dailymail.co.uk/news/article-6703211/Celebrities-respond-Ryan-Adams-allegations-support-Mandy-Moore.html?mrn_rm=rta,544,996,text/html
https://www.dailymail.co.uk/news/article-3528532/amp/22-charged-Miami-drug-money-laundering-operation.html,267,764,text/html
https://www.dailymail.co.uk/news/article-3579726/Critical-airline-staff-test-positive-cocaine-cannabis-methamphetamine-job.html,543,1032,text/html
https://www.dailymail.co.uk/news/article-3419242/amp/This-psychological-abuse-Mexican-drug-lord-El-Chapo-complains-kept-awake-night-light.html,269,765,text/html
https://www.dailymail.co.uk/news/article-6456439/Michelle-Obama-tells-book-tour-audience-bidding-change-mindset-men.html,554,1008,text/html
https://www.dailymail.co.uk/news/article-5601471/Disturbing-day-testimony-one-Bill-Cosbys-alleged-victims-drugged-assaulted-me.html,545,987,text/html
https://www.dailymail.co.uk/news/article-6339513/Trump-says-end-birthright-citizenship-just-like-Obama-created-DACA.html?ns_mchannel=rss&amp,565,1004,text/html
https://www.dailymail.co.uk/news/article-6592251/Up-million-Britons-new-driving-test-no-deal-Brexit.html?ns_mchannel=rss&amp,520,978,text/html
https://www.dailymail.co.uk/news/article-6439263/New-video-shows-SISTER-Syrian-refugee-waterboarded-bullies-having-headscarf-pulled.html?ns_mchannel=rss&amp,553,998,text/html
https://www.dailymail.co.uk/news/article-6698291/Rich-Kids-entourage-robbed-pistol-whipped-studio-Usher-was.html?ico=amp-comments-viewall,522,991,text/html
https://www.dailymail.co.uk/news/article-5850073/Bill-Cosbys-new-lawyer-says-job-complicated.html,520,985,text/html
https://www.dailymail.co.uk/news/article-6615925/amp/May-secretly-wants-Parliament-no-deal-Brexit-table.html,264,765,text/html
https://www.dailymail.co.uk/news/article-5341927/Michelle-Obama-Forget-theyre-saying-Washington.html,572,1047,text/html
https://www.dailymail.co.uk/news/article-3416792/Bodyguard-hip-hop-artist-Future-shot-killed-gunman-Georgia-home.html,537,1026,text/html
https://www.dailymail.co.uk/news/article-6538929/Dover-MP-begs-Home-Office-clear-plan-tackle-migrant-crisis.html,515,977,text/html
https://www.dailymail.co.uk/news/article-3528773/I-m-f-ed-t-jail-Four-high-ranking-NYPD-officers-disciplined-amid-FBI-corruption-probe-one-took-cash-one-Blasio-s-major-donors.html,560,1042,text/html
https://www.dailymail.co.uk/news/article-6704937/Businesswoman-26-lay-dead-hot-tub-parents-garden-THREE-days.html?mrn_rm=rta,517,986,text/html
https://www.dailymail.co.uk/news/article-6617719/amp/Man-33-accused-killing-Afghan-migrant-best-friend-29-Outback-road-trip.html,263,764,text/html
https://www.dailymail.co.uk/news/article-5656583/Jury-starts-deliberations-Cosbys-sexual-assault-retrial.html,562,1010,text/html
https://www.dailymail.co.uk/news/article-6287193/Virginia-couple-claims-Mexican-murder-suspect-married-daughter-20-citizenship.html?ns_mchannel=rss&amp,521,986,text/html
https://www.dailymail.co.uk/news/article-6454299/MPs-WONT-know-details-post-Brexit-immigration-vote-Mays-deal.html?ns_mchannel=rss&amp,517,981,text/html
https://www.dailymail.co.uk/news/article-6702717/Sheriff-Dog-named-Donald-Trump-wasnt-killed-politics.html?mrn_rm=rta,515,984,text/html
https://www.dailymail.co.uk/news/article-6593805/New-migrant-caravan-800-Hondurans-heads-America-amid-wall-funding-row.html?ns_mchannel=rss&amp,525,990,text/html
https://www.dailymail.co.uk/news/article-6691291/amp/Ducks-play-follow-leader-swim-thawed-channels-icy-Michigan-river.html?ico=amp_articleRelated,264,763,text/html
https://www.dailymail.co.uk/news/article-3512861/Banking-heir-Matthew-Mellon-heads-rehab-public-breakdown-second-marriage.html,542,1030,text/html
https://www.dailymail.co.uk/news/article-3670148/Knifeman-stabbed-German-mayor-day-elected-committing-high-treason-migration-policy-jailed-14-years.html,538,1026,text/html
https://www.dailymail.co.uk/news/article-3416195/PICTURED-Atlanta-anesthesiologist-39-brutally-raped-murdered-man-armed-cutlass-day-vacation-husband-island-Grenada.html,569,1038,text/html
https://www.dailymail.co.uk/news/article-6591223/amp/Senior-Trump-official-tells-president-anonymous-op-ed-shutter-shutdown-agencies-forever.html,273,765,text/html
https://www.dailymail.co.uk/news/article-5339949/Michelle-Obama-says-graders-project-day.html,560,1045,text/html
https://www.dailymail.co.uk/news/article-6555517/Migrant-children-enter-U-S-illegally-22-000-crossing-Southern-U-S-border-December.html?ns_mchannel=rss&amp,509,979,text/html
https://www.dailymail.co.uk/news/article-5623439/Constands-mom-claims-Bill-Cosby-admitted-having-sex-daughter.html,594,1021,text/html
https://www.dailymail.co.uk/news/article-6121945/Thousands-far-right-protesters-march-Germany-man-killed-two-migrants.html?ns_mchannel=rss&amp,190,197,text/html
https://www.dailymail.co.uk/news/article-3678386/amp/Germany-toughen-rape-laws-wake-Cologne-New-Year-sex-attacks-migrant-mobs.html,268,766,text/html
https://www.dailymail.co.uk/news/article-6616999/Predator-70-raped-girl-12-gunpoint-spotted-staring-families-shopping-centre.html,516,982,text/html
https://www.dailymail.co.uk/news/article-3581429/amp/Mexico-judge-says-El-Chapo-extradition-proceed.html,267,766,text/html
https://www.dailymail.co.uk/news/article-6615897/Donald-Tusk-says-David-Cameron-never-wanted-hold-stupid-Brexit-referendum.html?ns_mchannel=rss&amp,513,982,text/html
https://www.dailymail.co.uk/news/article-6564707/Police-launch-hunt-migrants-abandoned-inflatable-boat-Kent-coast.html?ns_mchannel=rss&amp,554,997,text/html
https://www.dailymail.co.uk/news/article-5630115/Janice-Dickinsons-publisher-tells-Cosbys-retrial-jury-publish-Cosby-allegations.html,576,1013,text/html
https://www.dailymail.co.uk/news/article-6704755/Colorado-store-owner-took-stand-against-Nike-Kaepernick-ad-going-business.html?mrn_rm=rta,533,995,text/html
https://www.dailymail.co.uk/news/article-5661907/Guilty-Bill-Cosby-lashes-DA-asks-bail-revoked.html,606,1023,text/html
